start,end,cal_quarter,cpi_value,group,region,frequency,measurement
1973-07-01,1973-09-30,1973-Q3,5.1,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1973-10-01,1973-12-31,1973-Q4,11.9,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1974-01-01,1974-03-31,1974-Q1,10,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1974-04-01,1974-06-30,1974-Q2,11.3,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1974-07-01,1974-09-30,1974-Q3,19.4,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1974-10-01,1974-12-31,1974-Q4,15.2,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1975-01-01,1975-03-31,1975-Q1,21.2,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1975-04-01,1975-06-30,1975-Q2,17.4,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1975-07-01,1975-09-30,1975-Q3,12.2,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1975-10-01,1975-12-31,1975-Q4,27.6,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1976-01-01,1976-03-31,1976-Q1,25,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1976-04-01,1976-06-30,1976-Q2,25.9,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1976-07-01,1976-09-30,1976-Q3,21.7,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
1976-10-01,1976-12-31,1976-Q4,5.2,Alcohol and tobacco,Melbourne,Quarterly,Percentage Change from Corresponding Quarter of the Previous Year
