Series ID,FXRUSD,FXRTWI,FXREUR,FXRJY,FXRUKPS,FXRSF,FXRNZD,FXRCD,FXRHKD,FXRSD,FXRMR,FXRNTD,FXRSKW,FXRIR,FXRCR,FXRSDR,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,FXRIRE,FXRTB,FXRVD,FXRUAED,FXRPNGK,FXRSARD,FXRSARY,FXRSK,FXRPHP
2000-01-04,0.6583,56.5,0.6425,67.38,0.4026,1.0312,1.2553,0.9526,5.1194,1.0911,2.5015,20.31,741.18,4667.0,5.4506,0.4777,,,,,,,,,,,,,,,,,,,,
2000-01-05,0.6558,56.3,0.6358,67.53,0.4005,1.02,1.2636,0.953,5.1005,1.0863,2.492,20.11,742.79,4699.0,5.43,0.4751,,,,,,,,,,,,,,,,,,,,
2000-01-06,0.6582,56.6,0.6368,68.64,0.4004,1.0212,1.2653,0.9547,5.1192,1.0904,2.5012,20.26,748.31,4703.0,5.4498,0.477,,,,,,,,,,,,,,,,,,,,
2000-01-07,0.6539,56.5,0.6347,68.93,0.397,1.0186,1.2702,0.9544,5.0859,1.0882,2.4848,20.17,750.35,4741.0,5.4141,0.4746,,,,,,,,,,,,,,,,,,,,
2000-01-10,0.6556,56.6,0.6371,68.86,0.4002,1.0251,1.2723,0.9554,5.0991,1.0879,2.4913,20.18,745.25,4699.0,5.428,0.4772,,,,,,,,,,,,,,,,,,,,
2000-01-11,0.6558,56.7,0.6389,69.04,0.4006,1.0282,1.2699,0.9544,5.1005,1.0926,2.492,20.19,746.23,4745.0,5.4296,0.4775,,,,,,,,,,,,,,,,,,,,
2000-01-12,0.6583,56.9,0.6374,69.68,0.3994,1.0265,1.2696,0.959,5.1203,1.0974,2.5015,20.28,754.41,4789.0,5.4504,0.4789,,,,,,,,,,,,,,,,,,,,
2000-01-13,0.6629,57.3,0.644,70.04,0.4027,1.0376,1.2736,0.9629,5.1562,1.1055,2.519,20.41,753.72,4760.0,5.4885,0.4827,,,,,,,,,,,,,,,,,,,,
2000-01-14,0.6664,57.6,0.6496,70.69,0.4049,1.0472,1.2796,0.9665,5.184,1.1142,2.5323,20.55,750.57,4808.0,5.5177,0.4854,,,,,,,,,,,,,,,,,,,,
2000-01-17,0.6654,57.6,0.6567,70.03,0.4066,1.0595,1.2804,0.9656,5.1761,1.1131,2.5285,20.51,747.74,4808.0,5.5093,0.4869,,,,,,,,,,,,,,,,,,,,
2000-01-18,0.6633,57.4,0.6562,69.57,0.4059,1.0593,1.2845,0.961,5.1598,1.1089,2.5205,20.46,745.05,4819.0,5.4917,0.4849,,,,,,,,,,,,,,,,,,,,
2000-01-19,0.6644,57.6,0.655,70.24,0.4057,1.0564,1.2876,0.9639,5.1686,1.1112,2.5247,20.49,748.94,4847.0,5.5008,0.4858,,,,,,,,,,,,,,,,,,,,
2000-01-20,0.6634,57.5,0.6562,69.84,0.4037,1.0593,1.2882,0.9635,5.1606,1.1107,2.5209,20.45,752.79,4846.0,5.4928,0.4851,,,,,,,,,,,,,,,,,,,,
2000-01-21,0.6653,57.5,0.6539,69.78,0.4022,1.0545,1.2911,0.9619,5.1747,1.1142,2.5281,20.5,749.53,4860.0,5.5083,0.4865,,,,,,,,,,,,,,,,,,,,
2000-01-24,0.6563,56.9,0.6529,68.92,0.3978,1.053,1.2902,0.9472,5.1052,1.1053,2.4939,20.21,739.29,4804.0,5.4338,0.4794,,,,,,,,,,,,,,,,,,,,
2000-01-25,0.6558,57.0,0.6501,69.27,0.3975,1.0472,1.2904,0.9463,5.1018,1.1038,2.492,20.21,738.07,4804.0,5.4293,0.4802,,,,,,,,,,,,,,,,,,,,
2000-01-27,0.6523,56.8,0.6519,68.91,0.3985,1.0505,1.2846,0.9385,5.0749,1.1023,2.4787,20.07,734.33,4850.0,5.3999,0.4785,,,,,,,,,,,,,,,,,,,,
2000-01-28,0.6511,56.8,0.6593,68.31,0.398,1.0629,1.3064,0.9334,5.0658,1.1033,2.4742,20.0,730.89,4808.0,5.39,0.4785,,,,,,,,,,,,,,,,,,,,
2000-01-31,0.6382,56.0,0.6509,68.2,0.3938,1.0479,1.2901,0.9223,4.9653,1.0869,2.4252,19.61,718.77,4744.0,5.2831,0.4713,,,,,,,,,,,,,,,,,,,,
2000-02-01,0.6358,55.9,0.6549,68.18,0.3939,1.0528,1.2834,0.9201,4.9465,1.0806,2.416,19.51,715.34,4740.0,5.263,0.4695,,,,,,,,,,,,,,,,,,,,
2000-02-02,0.6395,56.4,0.6589,69.51,0.3964,1.0602,1.2945,0.9275,4.9754,1.0867,2.4301,19.66,723.91,4790.0,5.2934,0.4751,,,,,,,,,,,,,,,,,,,,
2000-02-03,0.6343,56.0,0.652,68.72,0.3949,1.0503,1.2825,0.9121,4.9349,1.0742,2.4103,19.5,716.76,4849.0,5.2503,0.4722,,,,,,,,,,,,,,,,,,,,
2000-02-04,0.6333,55.6,0.6401,68.05,0.3958,1.0281,1.2799,0.9134,4.9276,1.0684,2.4065,19.49,715.31,4764.0,5.243,0.4698,,,,,,,,,,,,,,,,,,,,
2000-02-07,0.6388,56.2,0.6506,68.71,0.401,1.0455,1.2838,0.9195,4.9705,1.0801,2.4274,19.65,720.98,4781.0,5.2885,0.4743,,,,,,,,,,,,,,,,,,,,
2000-02-08,0.6358,56.1,0.648,69.42,0.3972,1.0412,1.2847,0.9204,4.947,1.0772,2.416,19.58,717.72,4743.0,5.2637,0.473,,,,,,,,,,,,,,,,,,,,
2000-02-09,0.6332,55.7,0.6406,69.03,0.3932,1.0305,1.287,0.9152,4.9265,1.0718,2.4062,19.37,712.44,4619.0,5.2421,0.4702,,,,,,,,,,,,,,,,,,,,
2000-02-10,0.6348,55.7,0.6384,68.98,0.3927,1.0267,1.2837,0.917,4.9394,1.0726,2.4122,19.38,711.13,4609.0,5.2554,0.4707,,,,,,,,,,,,,,,,,,,,
2000-02-11,0.6286,55.3,0.6378,68.67,0.3905,1.0248,1.2795,0.9111,4.8914,1.0647,2.3887,19.24,700.54,4608.0,5.2041,0.4663,,,,,,,,,,,,,,,,,,,,
2000-02-14,0.6328,55.6,0.6413,68.6,0.397,1.03,1.2818,0.9176,4.9235,1.0706,2.4046,19.36,708.07,4588.0,5.2384,0.4701,,,,,,,,,,,,,,,,,,,,
2000-02-15,0.6263,55.2,0.6399,68.1,0.3942,1.0287,1.2868,0.912,4.8734,1.0606,2.3799,19.22,706.15,4550.0,5.1844,0.466,,,,,,,,,,,,,,,,,,,,
2000-02-16,0.6323,55.8,0.6442,69.07,0.396,1.0341,1.2875,0.9197,4.9201,1.0741,2.4027,19.4,710.96,4666.0,5.234,0.4697,,,,,,,,,,,,,,,,,,,,
2000-02-17,0.6305,55.6,0.6399,69.44,0.3925,1.0261,1.2831,0.9169,4.9066,1.0745,2.3959,19.36,711.96,4651.0,5.2191,0.4688,,,,,,,,,,,,,,,,,,,,
2000-02-18,0.6328,55.9,0.64,70.17,0.3935,1.0268,1.2851,0.9179,4.9241,1.0783,2.4046,19.44,715.44,4708.0,5.2378,0.4707,,,,,,,,,,,,,,,,,,,,
2000-02-21,0.6277,55.5,0.6365,69.38,0.3924,1.0208,1.2826,0.9104,4.8839,1.0724,2.3853,19.26,710.31,4669.0,5.1956,0.4678,,,,,,,,,,,,,,,,,,,,
2000-02-22,0.6261,55.4,0.6308,69.83,0.3899,1.0121,1.2785,0.9118,4.8726,1.0691,2.3792,19.25,710.44,4661.0,5.1825,0.4668,,,,,,,,,,,,,,,,,,,,
2000-02-23,0.6218,54.8,0.6179,68.63,0.3853,0.9936,1.2739,0.9095,4.8392,1.0609,2.3628,19.14,704.69,4611.0,5.1468,0.46,,,,,,,,,,,,,,,,,,,,
2000-02-24,0.6213,54.9,0.619,68.95,0.3872,0.9977,1.2669,0.9082,4.835,1.0634,2.3609,19.14,708.03,4632.0,5.1431,0.4607,,,,,,,,,,,,,,,,,,,,
2000-02-25,0.6179,54.7,0.6238,68.52,0.3863,1.0039,1.2659,0.899,4.8088,1.0586,2.348,19.02,704.93,4647.0,5.115,0.4592,,,,,,,,,,,,,,,,,,,,
2000-02-28,0.6136,54.4,0.644,66.69,0.3851,1.0321,1.2659,0.8901,4.7755,1.0478,2.3317,18.88,693.37,4554.0,5.0797,0.4582,,,,,,,,,,,,,,,,,,,,
2000-02-29,0.6143,54.5,0.6347,67.72,0.3846,1.0194,1.2635,0.8926,4.7808,1.0538,2.3343,18.88,695.23,4597.0,5.0855,0.4588,,,,,,,,,,,,,,,,,,,,
2000-03-01,0.6074,53.8,0.6281,66.35,0.3843,1.0076,1.2521,0.8822,4.7273,1.0444,2.3081,18.67,685.6,4510.0,5.0284,0.4537,,,,,,,,,,,,,,,,,,,,
2000-03-02,0.6074,53.5,0.6232,65.26,0.383,1.0012,1.2426,0.8801,4.7271,1.0428,2.3081,18.65,682.05,4486.0,5.0284,0.4526,,,,,,,,,,,,,,,,,,,,
2000-03-03,0.6092,53.8,0.6325,65.46,0.3863,1.0163,1.2415,0.8871,4.7415,1.0475,2.315,18.7,682.61,4540.0,5.0434,0.4545,,,,,,,,,,,,,,,,,,,,
2000-03-06,0.6048,53.4,0.6315,64.99,0.3824,1.0144,1.2376,0.8784,4.7075,1.043,2.2982,18.6,676.68,4494.0,5.0071,0.4515,,,,,,,,,,,,,,,,,,,,
2000-03-07,0.6018,53.3,0.6278,64.92,0.3822,1.0096,1.2467,0.8751,4.6841,1.0353,2.2868,18.51,672.84,4498.0,4.982,0.4497,,,,,,,,,,,,,,,,,,,,
2000-03-08,0.6035,53.4,0.6302,64.63,0.3822,1.0119,1.2526,0.879,4.6977,1.0373,2.2933,18.56,676.25,4505.0,4.996,0.4505,,,,,,,,,,,,,,,,,,,,
