start,end,cal_quarter,Alcohol and tobacco,Clothing and footwear,Communication,Education,Food and non-alcoholic beverages,"Furnishings, household equipment and services",Health,Housing,Insurance and financial services,Recreation and culture,Transport,FXRUSD_pct_change,FXRTWI_pct_change,oil_price_pct_change
1972-10-01,1972-12-31,1972-Q4,0.0,1.6,0.0,,1.0,0.6,,0.9,,,0.9,,,
1973-01-01,1973-03-31,1973-Q1,1.7,1.5,0.0,,5.9,0.0,,1.8,,,0.0,,,
1973-04-01,1973-06-30,1973-Q2,3.3,4.0,0.0,,5.6,2.3,,1.7,,,0.0,,,
1973-07-01,1973-09-30,1973-Q3,0.0,2.9,0.0,,4.4,4.0,,2.6,,,3.4,,,
1973-10-01,1973-12-31,1973-Q4,6.5,3.8,0.0,,3.4,1.1,,4.2,,,3.3,,,
1974-01-01,1974-03-31,1974-Q1,0.0,1.8,0.0,,3.3,2.7,,3.2,,,1.6,,,
1974-04-01,1974-06-30,1974-Q2,4.5,7.6,0.0,,4.8,4.7,,5.4,,,3.1,,,
1974-07-01,1974-09-30,1974-Q3,7.2,5.0,0.0,,2.3,4.5,,5.1,,,8.3,,,
1974-10-01,1974-12-31,1974-Q4,2.7,6.7,21.6,,-0.7,5.3,,6.3,,,2.8,,,
1975-01-01,1975-03-31,1975-Q1,5.3,1.5,0.0,,0.0,4.6,,3.9,,,4.1,,,
1975-04-01,1975-06-30,1975-Q2,1.3,4.7,0.0,,3.7,2.2,,5.7,,,3.9,,,
1975-07-01,1975-09-30,1975-Q3,2.5,2.4,0.0,,2.2,2.1,,3.6,,,6.3,,,
1975-10-01,1975-12-31,1975-Q4,16.9,6.5,41.1,,2.8,7.5,,4.6,,,5.3,,,
1976-01-01,1976-03-31,1976-Q1,3.1,1.6,0.0,,4.8,1.9,,3.3,,,1.1,,,
1976-04-01,1976-06-30,1976-Q2,2.0,6.0,0.2,,0.0,2.3,,4.3,,,2.2,,,
1976-07-01,1976-09-30,1976-Q3,-1.0,1.8,0.0,,3.9,2.2,,2.6,,,3.3,,,
